# ACTS Test Suite Generation: Tue May 22 23:29:17 EDT 2018
#  '*' represents don't care value 
# Degree of interaction coverage: 5
# Number of parameters: 8
# Maximum number of values per parameter: 4
# Number of configurations: 784
StartServers@/home/author/PlayGround/httpd-2.2.31.FULL/INSTALL/conf/extra/httpd-mpm.conf,MaxKeepAliveRequests@/home/author/PlayGround/httpd-2.2.31.FULL/INSTALL/conf/extra/httpd-default.conf,Timeout@/home/author/PlayGround/httpd-2.2.31.FULL/INSTALL/conf/extra/httpd-default.conf,KeepAliveTimeout@/home/author/PlayGround/httpd-2.2.31.FULL/INSTALL/conf/extra/httpd-default.conf,MaxClients@/home/author/PlayGround/httpd-2.2.31.FULL/INSTALL/conf/extra/httpd-mpm.conf,KeepAlive@/home/author/PlayGround/httpd-2.2.31.FULL/INSTALL/conf/extra/httpd-default.conf,UseCanonicalName@/home/author/PlayGround/httpd-2.2.31.FULL/INSTALL/conf/extra/httpd-default.conf,HostnameLookups@/home/author/PlayGround/httpd-2.2.31.FULL/INSTALL/conf/extra/httpd-default.conf
1,1,1,1,4,On,On,On
1,1,1,1,20,Off,Off,Off
1,1,1,1,36,On,Off,On
1,1,1,32,4,Off,On,Off
1,1,1,32,20,On,On,On
1,1,1,32,36,Off,Off,On
1,1,1,63,4,On,Off,Off
1,1,1,63,20,Off,On,On
1,1,1,63,36,On,On,Off
1,1,1,94,4,Off,Off,On
1,1,1,94,20,On,Off,Off
1,1,1,94,36,Off,On,Off
1,1,32,1,4,Off,On,Off
1,1,32,1,20,On,Off,On
1,1,32,1,36,Off,Off,Off
1,1,32,32,4,On,Off,Off
1,1,32,32,20,Off,On,On
1,1,32,32,36,On,On,On
1,1,32,63,4,Off,Off,On
1,1,32,63,20,On,On,Off
1,1,32,63,36,Off,On,On
1,1,32,94,4,On,On,On
1,1,32,94,20,Off,Off,Off
1,1,32,94,36,On,Off,On
1,1,63,1,4,On,Off,Off
1,1,63,1,20,Off,On,On
1,1,63,1,36,On,On,Off
1,1,63,32,4,Off,Off,On
1,1,63,32,20,On,Off,Off
1,1,63,32,36,Off,On,Off
1,1,63,63,4,On,On,On
1,1,63,63,20,Off,Off,Off
1,1,63,63,36,On,Off,On
1,1,63,94,4,Off,On,Off
1,1,63,94,20,On,On,On
1,1,63,94,36,Off,Off,On
1,1,94,1,4,On,On,Off
1,1,94,1,20,Off,Off,On
1,1,94,1,36,On,Off,Off
1,1,94,32,4,Off,On,On
1,1,94,32,20,On,On,Off
1,1,94,32,36,Off,Off,Off
1,1,94,63,4,On,Off,On
1,1,94,63,20,Off,On,Off
1,1,94,63,36,On,On,On
1,1,94,94,4,Off,Off,Off
1,1,94,94,20,On,Off,On
1,1,94,94,36,Off,On,On
1,32,1,1,4,Off,Off,On
1,32,1,1,20,On,On,Off
1,32,1,1,36,Off,On,On
1,32,1,32,4,On,Off,Off
1,32,1,32,20,Off,Off,On
1,32,1,32,36,On,On,Off
1,32,1,63,4,Off,On,Off
1,32,1,63,20,On,Off,On
1,32,1,63,36,Off,Off,Off
1,32,1,94,4,On,On,On
1,32,1,94,20,Off,On,Off
1,32,1,94,36,On,Off,Off
1,32,32,1,4,On,On,On
1,32,32,1,20,Off,Off,Off
