# ACTS Test Suite Generation: Thu May 11 19:52:10 EDT 2017
#  '*' represents don't care value 
# Degree of interaction coverage: 4
# Number of parameters: 4
# Maximum number of values per parameter: 9
# Number of configurations: 3024
server.max-keep-alive-idle@/home/xha225/PlayGround/TestSubjects/lighttpd-1.4.45.T2/SETUP/conf/lighttpd.conf,connection.kbytes-per-second@/home/xha225/PlayGround/TestSubjects/lighttpd-1.4.45.T2/SETUP/conf/lighttpd.conf,server.max-read-idle@/home/xha225/PlayGround/TestSubjects/lighttpd-1.4.45.T2/SETUP/conf/lighttpd.conf,server.listen-backlog@/home/xha225/PlayGround/TestSubjects/lighttpd-1.4.45.T2/SETUP/conf/lighttpd.conf
5,16,10,128
7,16,10,128
9,16,10,128
11,16,10,128
13,16,10,128
15,16,10,128
5,23,10,128
7,23,10,128
9,23,10,128
11,23,10,128
13,23,10,128
15,23,10,128
5,30,10,128
7,30,10,128
9,30,10,128
11,30,10,128
13,30,10,128
15,30,10,128
5,37,10,128
7,37,10,128
9,37,10,128
11,37,10,128
13,37,10,128
15,37,10,128
5,44,10,128
7,44,10,128
9,44,10,128
11,44,10,128
13,44,10,128
15,44,10,128
5,51,10,128
7,51,10,128
9,51,10,128
11,51,10,128
13,51,10,128
15,51,10,128
5,58,10,128
7,58,10,128
9,58,10,128
11,58,10,128
13,58,10,128
15,58,10,128
5,16,10,180
7,16,10,180
9,16,10,180
11,16,10,180
13,16,10,180
15,16,10,180
5,23,10,180
7,23,10,180
9,23,10,180
11,23,10,180
13,23,10,180
15,23,10,180
5,30,10,180
7,30,10,180
9,30,10,180
11,30,10,180
13,30,10,180
15,30,10,180
5,37,10,180
7,37,10,180
9,37,10,180
11,37,10,180
13,37,10,180
15,37,10,180
5,44,10,180
7,44,10,180
9,44,10,180
11,44,10,180
13,44,10,180
15,44,10,180
5,51,10,180
7,51,10,180
9,51,10,180
11,51,10,180
13,51,10,180
15,51,10,180
5,58,10,180
7,58,10,180
9,58,10,180
11,58,10,180
13,58,10,180
15,58,10,180
5,16,10,232
7,16,10,232
9,16,10,232
11,16,10,232
13,16,10,232
15,16,10,232
5,23,10,232
7,23,10,232
9,23,10,232
11,23,10,232
13,23,10,232
15,23,10,232
5,30,10,232
7,30,10,232
9,30,10,232
11,30,10,232
13,30,10,232
15,30,10,232
5,37,10,232
7,37,10,232
9,37,10,232
11,37,10,232
13,37,10,232
15,37,10,232
5,44,10,232
7,44,10,232
9,44,10,232
11,44,10,232
13,44,10,232
15,44,10,232
5,51,10,232
7,51,10,232
9,51,10,232
11,51,10,232
13,51,10,232
15,51,10,232
5,58,10,232
7,58,10,232
9,58,10,232
11,58,10,232
13,58,10,232
15,58,10,232
5,16,10,284
7,16,10,284
9,16,10,284
11,16,10,284
13,16,10,284
15,16,10,284
5,23,10,284
7,23,10,284
9,23,10,284
11,23,10,284
13,23,10,284
15,23,10,284
5,30,10,284
7,30,10,284
9,30,10,284
11,30,10,284
13,30,10,284
15,30,10,284
5,37,10,284
7,37,10,284
9,37,10,284
11,37,10,284
13,37,10,284
15,37,10,284
5,44,10,284
7,44,10,284
9,44,10,284
11,44,10,284
13,44,10,284
15,44,10,284
5,51,10,284
7,51,10,284
9,51,10,284
