commit_siblings,max_connections,commit_delay,shared_buffers,log_statement,autovacuum,ExeTime
1,10,1,20,none,off,406577
1,10,1,61,all,on,498075
1,10,42,20,all,off,408518
1,10,42,61,none,on,502040
1,10,83,20,none,on,497300
1,10,83,61,all,off,408897
1,51,1,20,all,on,501367
1,51,1,61,none,off,413583
1,51,42,20,none,off,413799
1,51,42,61,all,on,498034
1,51,83,20,all,off,414617
1,51,83,61,none,on,502057
1,92,1,20,none,on,499696
1,92,1,61,all,off,414825
1,92,42,20,all,on,504698
1,92,42,61,none,off,414074
1,92,83,20,none,off,415801
1,92,83,61,all,on,500658
42,10,1,20,all,off,409762
42,10,1,61,none,on,498630
42,10,42,20,none,on,500317
42,10,42,61,all,off,415843
42,10,83,20,all,on,501175
42,10,83,61,none,off,416562
42,51,1,20,none,off,409876
42,51,1,61,all,on,497832
42,51,42,20,all,off,414256
42,51,42,61,none,on,505500
42,51,83,20,none,on,501807
42,51,83,61,all,off,413799
42,92,1,20,all,off,409447
42,92,1,61,none,on,504554
42,92,42,20,none,off,410089
42,92,42,61,all,on,500640
42,92,83,20,all,off,410568
42,92,83,61,none,on,500047
83,10,1,20,none,on,496456
83,10,1,61,all,off,408744
83,10,42,20,all,on,502737
83,10,42,61,none,off,411591
83,10,83,20,none,off,409800
83,10,83,61,all,on,503467
83,51,1,20,all,off,411930
83,51,1,61,none,on,499713
83,51,42,20,none,on,503503
83,51,42,61,all,off,413073
83,51,83,20,all,on,503389
83,51,83,61,none,off,412281
83,92,1,20,none,off,409633
83,92,1,61,all,on,496313
83,92,42,20,all,off,411671
83,92,42,61,none,on,500465
83,92,83,20,none,on,497836
83,92,83,61,all,off,409029
42,92,1,61,all,off,419457
42,92,1,20,all,on,445401
