# ACTS Test Suite Generation: Sun Aug 20 11:57:06 EDT 2017
#  '*' represents don't care value 
# Degree of interaction coverage: 3
# Number of parameters: 3
# Maximum number of values per parameter: 5
# Number of configurations: 80
S@/home/xha225/PlayGround/pbz2.T3.Scripts/pbz2.conf,b@/home/xha225/PlayGround/pbz2.T3.Scripts/pbz2.conf,p@/home/xha225/PlayGround/pbz2.T3.Scripts/pbz2.conf
10,1,1
10,1,2
10,1,3
10,1,4
21,1,1
21,1,2
21,1,3
21,1,4
32,1,1
32,1,2
32,1,3
32,1,4
43,1,1
43,1,2
43,1,3
43,1,4
10,3,1
10,3,2
10,3,3
10,3,4
21,3,1
21,3,2
21,3,3
21,3,4
32,3,1
32,3,2
32,3,3
32,3,4
43,3,1
43,3,2
43,3,3
43,3,4
10,5,1
10,5,2
10,5,3
10,5,4
21,5,1
21,5,2
21,5,3
21,5,4
32,5,1
32,5,2
32,5,3
32,5,4
43,5,1
43,5,2
43,5,3
43,5,4
10,7,1
10,7,2
10,7,3
10,7,4
21,7,1
21,7,2
21,7,3
21,7,4
32,7,1
32,7,2
32,7,3
32,7,4
43,7,1
43,7,2
43,7,3
43,7,4
10,9,1
10,9,2
10,9,3
10,9,4
21,9,1
21,9,2
21,9,3
21,9,4
32,9,1
32,9,2
32,9,3
32,9,4
43,9,1
43,9,2
43,9,3
43,9,4
