S,b,p,ExeTime
10,1,1,187
10,1,2,186
10,1,3,186
10,1,4,184
21,1,1,174
21,1,2,175
21,1,3,176
21,1,4,169
32,1,1,176
32,1,2,175
32,1,3,173
32,1,4,175
43,1,1,173
43,1,2,172
43,1,3,177
43,1,4,176
10,3,1,186
10,3,2,186
10,3,3,187
10,3,4,185
21,3,1,174
21,3,2,171
21,3,3,172
21,3,4,173
32,3,1,175
32,3,2,174
32,3,3,173
32,3,4,171
43,3,1,176
43,3,2,169
43,3,3,174
43,3,4,175
10,5,1,187
10,5,2,187
10,5,3,187
10,5,4,186
21,5,1,173
21,5,2,173
21,5,3,172
21,5,4,172
32,5,1,175
32,5,2,174
32,5,3,176
32,5,4,176
43,5,1,170
43,5,2,174
43,5,3,174
43,5,4,177
10,7,1,186
10,7,2,185
10,7,3,186
10,7,4,186
21,7,1,170
21,7,2,172
21,7,3,175
21,7,4,171
32,7,1,175
32,7,2,175
32,7,3,174
32,7,4,175
43,7,1,175
43,7,2,175
43,7,3,172
43,7,4,170
10,9,1,184
10,9,2,186
10,9,3,185
10,9,4,187
21,9,1,172
21,9,2,180
21,9,3,168
21,9,4,167
32,9,1,174
32,9,2,176
32,9,3,175
32,9,4,173
43,9,1,169
43,9,2,175
43,9,3,173
43,9,4,175
